Muchiile din care este alcatuit arborele minim de acoperire sunt:
203.muchia  ( 114 , 156 ) = 76
204.muchia  ( 111 , 181 ) = 77
205.muchia  ( 79 , 91 ) = 78
206.muchia  ( 95 , 212 ) = 79
207.muchia  ( 131 , 217 ) = 81
208.muchia  ( 78 , 193 ) = 82
209.muchia  ( 54 , 95 ) = 83
210.muchia  ( 61 , 233 ) = 84
211.muchia  ( 137 , 230 ) = 84
212.muchia  ( 132 , 150 ) = 85
213.muchia  ( 196 , 241 ) = 85
214.muchia  ( 114 , 125 ) = 86
215.muchia  ( 149 , 217 ) = 86
216.muchia  ( 140 , 150 ) = 88
217.muchia  ( 10 , 124 ) = 90
218.muchia  ( 141 , 229 ) = 90
219.muchia  ( 104 , 182 ) = 91
220.muchia  ( 156 , 188 ) = 91
221.muchia  ( 120 , 161 ) = 94
222.muchia  ( 19 , 45 ) = 95
223.muchia  ( 74 , 147 ) = 96
224.muchia  ( 22 , 85 ) = 97
225.muchia  ( 214 , 245 ) = 97
226.muchia  ( 49 , 86 ) = 99
227.muchia  ( 20 , 50 ) = 101
228.muchia  ( 126 , 175 ) = 102
229.muchia  ( 38 , 224 ) = 105
230.muchia  ( 168 , 246 ) = 105
231.muchia  ( 25 , 104 ) = 106
232.muchia  ( 144 , 244 ) = 109
233.muchia  ( 48 , 49 ) = 111
234.muchia  ( 7 , 35 ) = 117
235.muchia  ( 113 , 208 ) = 117
236.muchia  ( 165 , 178 ) = 118
237.muchia  ( 24 , 78 ) = 121
238.muchia  ( 83 , 159 ) = 124
239.muchia  ( 1 , 32 ) = 126
240.muchia  ( 9 , 160 ) = 133
241.muchia  ( 78 , 135 ) = 138
242.muchia  ( 43 , 179 ) = 140
243.muchia  ( 79 , 139 ) = 143
244.muchia  ( 10 , 193 ) = 144
245.muchia  ( 21 , 46 ) = 159
246.muchia  ( 222 , 240 ) = 166
247.muchia  ( 0 , 201 ) = 171
248.muchia  ( 89 , 248 ) = 193
249.muchia  ( 7 , 103 ) = 213
Prin urmare costul arborelui minim de acoperire gasit este: 12814
Timpul de executie: 14.098806619644165
